id,predicted_price
2591820310,348619.34
7974200820,778717.5
7701450110,1192587.0
9522300010,1865516.0
9510861140,695230.1
1761300310,261299.38
7732410120,785830.1
7010701383,608214.75
291310170,444144.78
4232901990,549804.8
6840701125,752618.3
3971700580,437500.88
4202400078,254304.34
6064800090,342742.5
2626119028,248013.8
3303980660,1089477.6
862000020,567636.3
2386000070,807710.5
1138000450,392972.1
1775800420,461250.38
2291401425,389025.88
2025770560,828769.8
3525069037,823211.6
9324800450,626627.56
8080400136,579020.25
8651540040,479992.9
9407001790,299368.88
1773101530,273249.6
9432900250,317395.72
1794500695,613953.3
2220069003,447646.22
923000120,528780.44
5728000060,550141.0
16000200,288771.6
1926059094,500817.78
6672900220,1081517.9
3629860060,731620.4
1822069109,386159.72
6675500105,352509.5
249000180,1841913.9
226059065,473317.56
396100110,274809.5
9264450460,309032.75
7853361210,382152.12
9474700020,260050.9
421000455,222923.53
3755200220,357648.8
7960100075,392945.12
9477100490,376355.5
9138100350,898581.06
1624049275,379410.06
2770606890,502335.06
1157200189,386294.88
2770601800,530972.56
9301300805,593515.0
2325069032,1239260.8
1021079099,334581.03
7215730040,765411.44
1853200080,486047.53
3224600340,759809.94
3222049120,410930.1
2113700025,278118.38
7893207925,190755.03
3586501085,533285.6
8024200010,397705.6
7116500705,161013.73
1598600209,266342.53
7204200025,715606.06
4206901505,616730.8
2937300440,857849.1
7205000180,289251.2
8718500665,357996.56
5318101765,823873.7
4122700020,773892.7
8078700020,488746.25
3303980680,991484.06
8924100372,1043189.94
2781270210,232437.39
519000043,543998.8
3225069301,1295768.8
151000075,769031.06
2297400020,443631.72
6617500085,587874.4
104510180,233333.11
3528900060,950391.5
3345100286,507550.72
1226039130,460639.34
8712100720,728487.3
3037200010,402969.7
3626039268,362430.06
104510230,251854.6
5112800060,370666.6
6072400280,621444.06
5317100570,912710.8
9528102993,536687.6
2919201095,480834.06
6181400920,286946.56
185000161,242775.98
8691400010,766304.7
3345700165,616173.5
6151800486,216355.8
4340000080,1133077.4
4136960010,541036.25
3634100030,327832.5
1624059224,1189570.0
2788400090,300261.25
9828200762,470593.62
7524400250,543292.1
3528000290,695606.2
5700003630,2514263.0
2720069019,226421.12
7227501170,198221.7
2397101270,669513.8
6792100090,742890.9
2770602265,529734.4
3971700937,310462.5
422049203,222578.11
3076500830,247244.39
1423400260,256004.28
9161100795,444741.6
3126049052,479904.1
5100401468,373236.56
514500235,479339.22
1423200170,184963.5
1402100070,413391.1
624110020,630623.9
2407000145,187577.64
1890000225,758770.06
1320069271,290397.12
5490700085,363778.16
263000155,494585.75
3726800201,361865.72
5153200358,256074.84
2725079018,698957.7
7165700200,243907.78
9429000170,637555.6
8718500075,377884.38
1760650950,259299.3
1068000559,968518.2
4113800500,614723.75
4077800507,503298.9
2725069150,728510.94
4008400035,680979.3
7016310270,444505.4
1432701230,222410.9
3278606050,352667.22
2473350710,387847.5
2185000685,153236.31
7792000025,324998.78
6868200029,499187.47
624069003,693456.8
7431500280,1075351.2
3296000040,617409.94
1118001215,1363103.9
6453900040,660553.56
333100209,616744.94
34001765,602799.44
8946700100,381236.62
